key,verb
class,1
classicise,1
classicize,1
classify,1
clatter,1
claver,1
claw,1
claxon,1
clean,1
clean house,1
clean out,1
clean up,1
cleanse,1
clear,1
clear-cut,1
clear away,1
clear off,1
clear out,1
clear the air,1
clear the throat,1
clear up,1
cleat,1
cleave,1
clench,1
clerk,1
clew,1
click,1
click off,1
click open,1
climax,1
climb,1
climb down,1
climb on,1
climb up,1
clinch,1
cling,1
cling to,1
clink,1
clinker,1
clip,1
clitter,1
cloak,1
clobber,1
clock,1
clock in,1
clock off,1
clock on,1
clock out,1
clock up,1
clog,1
clog up,1
cloister,1
clomp,1
clone,1
clop,1
close,1
close down,1
close in,1
close off,1
close out,1
close up,1
closet,1
closure,1
clot,1
clothe,1
cloture,1
cloud,1
cloud over,1
cloud up,1
clout,1
clown,1
clown around,1
cloy,1
club,1
cluck,1
clue,1
clue in,1
clump,1
clunk,1
cluster,1
clutch,1
clutter,1
clutter up,1
co-author,1
co-educate,1
co-occur,1
co-occur with,1
co-opt,1
co-sign,1
co-star,1
co-vary,1
coach,1
coact,1
coagulate,1
coal,1
coalesce,1
coapt,1
coarsen,1
coast,1
coat,1
coax,1
cobble,1
cobble together,1
cobble up,1
cobblestone,1
cocainise,1
cocainize,1
cock,1
cock up,1
cocker,1
cockle,1
coconspire,1
cocoon,1
cod,1
coddle,1
code,1
codify,1
coeducate,1
coerce,1
coexist,1
coffin,1
cog,1
coggle,1
cogitate,1
cognise,1
cognize,1
cohabit,1
cohere,1
coif,1
coiffe,1
coiffure,1
coil,1
coin,1
coincide,1
coinsure,1
coke,1
cold-cream,1
cold-shoulder,1
cold work,1
coldcock,1
coldwork,1
collaborate,1
collapse,1
collar,1
collate,1
collateralize,1
collect,1
collectivise,1
collectivize,1
collide,1
collide with,1
colligate,1
collimate,1
collocate,1
collocate with,1
collogue,1
collude,1
colly,1
colonise,1
colonize,1
color,1
color in,1
colorcast,1
colorise,1
colorize,1
colour,1
colour in,1
colourise,1
colourize,1
comb,1
comb out,1
combat,1
combine,1
combust,1
come,1
come about,1
come across,1
come after,1
come alive,1
come along,1
come apart,1
come around,1
come away,1
come back,1
come before,1
come by,1
come close,1
come down,1
come forth,1
come forward,1
come home,1
come in,1
come in for,1
come in handy,1
come into,1
come into being,1
come near,1
come of age,1
come off,1
come on,1
come out,1
come out of the closet,1
come over,1
come round,1
come short,1
come through,1
come to,1
come to grips,1
come to hand,1
come to life,1
come to light,1
come to mind,1
come to the fore,1
come together,1
come up,1
come up to,1
come upon,1
come with,1
comfit,1
comfort,1
command,1
commandeer,1
commemorate,1
commence,1
commend,1
comment,1
commentate,1
commercialise,1
commercialize,1
comminate,1
commingle,1
comminute,1
commiserate,1
commission,1
commit,1
commit suicide,1
commix,1
commove,1
communalise,1
communalize,1
commune,1
communicate,1
communise,1
communize,1
commutate,1
commute,1
compact,1
companion,1
company,1
compare,1
comparison-shop,1
compart,1
compartmentalise,1
compartmentalize,1
compass,1
compassionate,1
compel,1
compensate,1
compere,1
compete,1
compile,1
complain,1
complect,1
complement,1
complete,1
complexify,1
complexion,1
complicate,1
compliment,1
complot,1
comply,1
comport,1
compose,1
compost,1
compound,1
comprehend,1
compress,1
comprise,1
compromise,1
compute,1
computerise,1
computerize,1
con,1
concatenate,1
conceal,1
concede,1
conceive,1
conceive of,1
concenter,1
concentrate,1
concentrate on,1
concentre,1
conceptualise,1
conceptualize,1
concern,1
concert,1
concertina,1
concertise,1
concertize,1
conciliate,1
conclude,1
concoct,1
concord,1
concrete,1
concretise,1
concretize,1
concur,1
concuss,1
condemn,1
condense,1
condescend,1
condition,1
condole,1
condole with,1
condone,1
conduce,1
conduct,1
cone,1
confab,1
confabulate,1
confect,1
confection,1
confederate,1
confer,1
confer with,1
confess,1
confide,1
configure,1
confine,1
confirm,1
confiscate,1
conflagrate,1
conflate,1
conflict,1
conform,1
conform to,1
confound,1
confront,1
confuse,1
confute,1
conga,1
conge,1
congeal,1
congee,1
congest,1
conglobate,1
conglobe,1
conglomerate,1
conglutinate,1
congratulate,1
congregate,1
conjecture,1
conjoin,1
conjugate,1
conjure,1
conjure up,1
conk,1
conk out,1
conn,1
connect,1
connive,1
connive at,1
connote,1
conquer,1
conscript,1
consecrate,1
consent,1
conserve,1
consider,1
consign,1
consist,1
consociate,1
console,1
consolidate,1
consonate,1
consort,1
conspire,1
constellate,1
consternate,1
constipate,1
constitute,1
constitutionalise,1
constitutionalize,1
constrain,1
constrict,1
constringe,1
construct,1
construe,1
construe with,1
consubstantiate,1
consult,1
consume,1
consummate,1
contact,1
contain,1
containerise,1
containerize,1
contaminate,1
contemn,1
contemplate,1
contemporise,1
contemporize,1
contend,1
content,1
contest,1
continue,1
contort,1
contour,1
contra danse,1
contract,1
contract in,1
contract out,1
contradance,1
contradict,1
contradistinguish,1
contraindicate,1
contrast,1
contravene,1
contredanse,1
contribute,1
contrive,1
control,1
controvert,1
contuse,1
convalesce,1
convect,1
convene,1
conventionalise,1
conventionalize,1
converge,1
converse,1
convert,1
convey,1
convict,1
convince,1
convoke,1
convolute,1
convolve,1
convoy,1
convulse,1
coo,1
